College Name,State Name,District Name
"Shivang Homeopathic College, Bairagarh Chichli Nayapura Kolar Road, Bhopal (Id: C-35211)",Madhya Pradesh,Bhopal
SH MEDICAL COLLEGE NATUROPATHY AND YOGIC SCIENCES (Id: C-48222),Madhya Pradesh,Bhopal
"SHREE INSTITUTE OF SCIENCE AND TECHNOLOGY, ABBAS NAGAR (Id: C-50425)",Madhya Pradesh,Bhopal
"Shree Inst. of Teachers Training, Abbas Nagar New Jail Road Gandhi Nagar, Bhopal (Id: C-35099)",Madhya Pradesh,Bhopal
"Shri Bhabanas Bharti Education College, Bhopal (Id: C-35198)",Madhya Pradesh,Bhopal
"Shri Dwarika Prasad Yadav College, Sironj, Vidisha (Id: C-35157)",Madhya Pradesh,Vidisha
"Shri Ganesh Education College, Mandvik Athaner, Betul (Id: C-35134)",Madhya Pradesh,Betul
"Shri Gopal Das Hingorani Girls College, Bhopal (Id: C-35373)",Madhya Pradesh,Bhopal
"SHRI RADHA KRISHAN COLLEGE OF EDUCATION, BHOPAL (Id: C-50409)",Madhya Pradesh,Bhopal
"Shri Ram College, Nehru Nagar, Bhopal (Id: C-35199)",Madhya Pradesh,Bhopal
"Shri Satya Sai College of Education, Sehore (Id: C-35097)",Madhya Pradesh,Sehore
SHRI SATYA SAI COLLEGE OF MANAGEMENT (Id: C-48223),Madhya Pradesh,Bhopal
"Shri Satya Sai College of Management, Sehore (Id: C-35186)",Madhya Pradesh,Sehore
Shri Satya Sai College of M.C.A. Sehore (Id: C-35309),Madhya Pradesh,Sehore
"Shri Satya Sai College of Teacher Education, Sehor (Id: C-35208)",Madhya Pradesh,Sehore
"Shri Satya Sai Institute of Management, Pachama, Sehore (Id: C-35293)",Madhya Pradesh,Sehore
"Shri Satya Sai Institute of Science & Technology, Pachama, Sehore (Id: C-35239)",Madhya Pradesh,Sehore
"Sky High College of Education, Bhopal (Id: C-35120)",Madhya Pradesh,Bhopal
"S.P.B. Memorial College, Sindhi Colony, Bhopal (Id: C-35306)",Madhya Pradesh,Bhopal
SRI SAI COLLEGE OF EDUCATION (Id: C-48224),Madhya Pradesh,Bhopal
SRI SAI INSTITUTE OF NURSING SCIENCE (Id: C-47999),Madhya Pradesh,Bhopal
SRI SATYA SAI INSTITUTE OF HOTEL MAMAGEMENT (Id: C-48231),Madhya Pradesh,Sehore
"SSL Jjain College, Vidisha (Id: C-35206)",Madhya Pradesh,Vidisha
"State Law College, Tilak Hostel Behind M.V.M. College, Bhopal (Id: C-35124)",Madhya Pradesh,Bhopal
"Subhash Chandra Bose College, Near Home Guard Office, Hoshangabad (Id: C-35114)",Madhya Pradesh,Hoshangabad
SUNDAR DEVI NURSING COLLEGE (Id: C-48225),Madhya Pradesh,Bhopal
Sunraij College of Vidisha (Id: C-35323),Madhya Pradesh,Vidisha
"Sunries College of Excellence, Vidisha (Id: C-35153)",Madhya Pradesh,Vidisha
"Swami Dayanand Sarwati College, Bairagarh, Bhopal (Id: C-35227)",Madhya Pradesh,Bhopal
SWAMI VIVEKANAND COLLEGE (Id: C-48226),Madhya Pradesh,Bhopal
"SWAMI VIVEKANAND COLLEGE, BEGUMGANJ (Id: C-50413)",Madhya Pradesh,Raisen
"Swami Vivekanand College of Prof. Studies, H.N.15, Near Bhopal Naka, Sehore (Id: C-35104)",Madhya Pradesh,Sehore
"Swami Vivekanand Education College, Ratibad, Bhopal (Id: C-35193)",Madhya Pradesh,Bhopal
"Takshila College, RAchana Nagar, Bhopal (Id: C-35286)",Madhya Pradesh,Bhopal
"Technocrat Institute of Technology, 24, Anand Nagar, Bhopal (Id: C-35102)",Madhya Pradesh,Bhopal
"Technocrats Inst. of Management Technology, Anand Nagar, Bhopal (Id: C-35147)",Madhya Pradesh,Bhopal
"Tirth Inst. Deepdi Bhojpur Road, Bhopal (Id: C-35289)",Madhya Pradesh,Bhopal
"TTTI, Bhopal (Id: C-35318)",Madhya Pradesh,Bhopal
"Unique College, M.A.L. Quater Jawahar Chowk, Bhopal (Id: C-35252)",Madhya Pradesh,Bhopal
"Vardhman College, Near Sub Post Office, Surajganj, Itarsi, Hoshangabad (Id: C-35270)",Madhya Pradesh,Hoshangabad
"Vedika College of Education , Bhopal (Id: C-35123)",Madhya Pradesh,Bhopal
"Veena Vadani College of Education, Chuna Bhati, Bhopal (Id: C-35283)",Madhya Pradesh,Bhopal
"Veena Vadini, Ayurvedic College, Kanha Kunj Akbarpur Choona Bhatti, Kolar Road, Bhopal (Id: C-35132)",Madhya Pradesh,Bhopal
VICTORIA COLLEGE OF EDUCATION (Id: C-47982),Madhya Pradesh,Bhopal
"Vidhik Education College, Bhopal (Id: C-35303)",Madhya Pradesh,Bhopal
"Vidhya Sagar Inst. of Management, Vallabh Nagar, BHEL, Bhopal (Id: C-35317)",Madhya Pradesh,Bhopal
VIDYADAYINI INSTITUTE OF SCIENCE MANAGEMENT AND TECHNOLOGY (Id: C-48227),Madhya Pradesh,Bhopal
"Vikramaditya College Zone-II, M.P. Nagar, Bhopal (Id: C-35312)",Madhya Pradesh,Bhopal
VIP COLLEGE OF MANAGEMENT (Id: C-47988),Madhya Pradesh,Bhopal
"Vishnu Rajoriya College, Khirkiya, Harda (Id: C-35242)",Madhya Pradesh,Harda
VISION COLLEGE OF NURSING (Id: C-47984),Madhya Pradesh,Betul
"VIVEKANAND COLLEGE, PIPARIYA (Id: C-50407)",Madhya Pradesh,Hoshangabad
"Vivekanand Science College, Betul (Id: C-35121)",Madhya Pradesh,Betul
VNS BUSINESS SCHOOL (Id: C-48315),Madhya Pradesh,Bhopal
"VNS College, Multai, Betul (Id: C-35126)",Madhya Pradesh,Betul
"VNS College of Physical Education, Neelbad Road, Bhopal (Id: C-35272)",Madhya Pradesh,Bhopal
"VNS Institute of Management, Neelbad Road, Bhopal (Id: C-35130)",Madhya Pradesh,Bhopal
"VVM Nursing College, E-14, Opp. Income Tax Colony Kotra, Bhopal (Id: C-35381)",Madhya Pradesh,Bhopal
Christ College Jagdalpur (Id: C-24975),Chhatisgarh,Bastar
Govt. Arvind College Kirandul (Id: C-24963),Chhatisgarh,Dakshin Bastar Dantewada
Govt. Bakavand College (Id: C-24973),Chhatisgarh,Bastar
Govt Bhanu Pratap Dev PG College Kanker (Id: C-24964),Chhatisgarh,Uttar Bastar Kanker
Govt. College Antagard (Id: C-24960),Chhatisgarh,Uttar Bastar Kanker
Govt. College Bhopalpatnam (Id: C-24971),Chhatisgarh,Bijapur
"Govt. College, Konta (Id: C-24968)",Chhatisgarh,Dakshin Bastar Dantewada
Govt. College Pakhanjur (Id: C-24977),Chhatisgarh,Uttar Bastar Kanker
Govt. Dandkaranya College Keshkal (Id: C-24962),Chhatisgarh,Bastar
Govt. Danteshwari Girls College Jagdalpur (Id: C-24957),Chhatisgarh,Bastar
Govt. Gaind Singh College Charama (Id: C-24958),Chhatisgarh,Uttar Bastar Kanker
Govt. Gundadhur College Kondagoan (Id: C-24979),Chhatisgarh,Bastar
Govt. Indru kenwat Girls College Kanker (Id: C-24967),Chhatisgarh,Uttar Bastar Kanker
Govt. Kaktiya PG college Jagdalpur Chhattisgarh (Id: C-24969),Chhatisgarh,Bastar
Govt. Maharshi Valmiki College Bhanupratappur (Id: C-24966),Chhatisgarh,Bastar
Govt. Naveen College Bhanpuri (Id: C-24956),Chhatisgarh,Bastar
Govt. New Girls College Dantewada (Id: C-24965),Chhatisgarh,Dakshin Bastar Dantewada
Govt. PG College Dantewada (Id: C-24974),Chhatisgarh,Dakshin Bastar Dantewada
Govt. Shaheed Bapurao College Sukama (Id: C-24961),Chhatisgarh,Dakshin Bastar Dantewada
Govt. Shaheed Venkatrao College Bijapur (Id: C-24970),Chhatisgarh,Bijapur
Govt.Swami Atmanand College Narayanpur (Id: C-24978),Chhatisgarh,Bijapur
Late Thakur Bhavsingh Sci. Art College Narharpur (Id: C-24976),Chhatisgarh,Uttar Bastar Kanker
Shri Vedmata Gayatri Shiksha College Jagdalpur (Id: C-24959),Chhatisgarh,Bastar
Surya College Jagdalpur (Id: C-24954),Chhatisgarh,Bastar
Vishwabharati Shiksha Mahavidhyalaya Konta (Id: C-24972),Chhatisgarh,Bijapur
"Academy of Technocrats, Berhampur (Id: C-39331)",Odisha,Ganjam
"Adivasi College, Balliguda (Id: C-39426)",Odisha,Kandhamal
"Aeronautics College, Sunabeda (Id: C-39327)",Odisha,Koraput
"AMCS College, Tikabali (Id: C-39324)",Odisha,Kandhamal
"Anchalika Degree College, Jagannathprasad (Id: C-39357)",Odisha,Ganjam
"Anchalika Mahavidyalaya, Kshetriyabarapur (Id: C-39429)",Odisha,Ganjam
"Anchalika Science College, Ballipadar (Id: C-39441)",Odisha,Ganjam
"Army A.D. College, Gopalpur (Id: C-39370)",Odisha,Ganjam
"Aska Science College, Aska (Id: C-39421)",Odisha,Ganjam
"Balimela College of Science and Technology, Balimela (Id: C-39376)",Odisha,Malkangiri
"Bellaguntha Science College, Bellaguntha (Id: C-39422)",Odisha,Ganjam
"Belleswar Mahavidyalaya, Gondola (Id: C-39430)",Odisha,Ganjam
"Berhampur City College, Berhampur (Id: C-39406)",Odisha,Ganjam
"Bhairab College, Dabugaon (Id: C-39407)",Odisha,Nabarangapur
"Bhanja College of Computer and Management, Bhanjanagar (Id: C-39404)",Odisha,Ganjam
"Biju Patnaik College, Kundra (Id: C-39399)",Odisha,Koraput
"Biju Patnaik College of Education, Govindapalli (Id: C-39401)",Odisha,Malkangiri
"Biju Patnaik Homeopathy Medical College & Hospital, Berhampur (Id: C-39408)",Odisha,Ganjam
"Biju Patnaik Women's College, Digapahandi (Id: C-39364)",Odisha,Ganjam
"Binayak Acharya College, Berhampur (Id: C-39355)",Odisha,Ganjam
"Binayak Institute of Computer and Management, Berhampur (Id: C-39336)",Odisha,Ganjam
"Biswasroy Science College, Pattapur (Id: C-39433)",Odisha,Ganjam
"Chakadola Institute of Information Technology & Management, Berhampur (Id: C-39377)",Odisha,Ganjam
"Chatrapur Women's College, Chatrapur (Id: C-39431)",Odisha,Ganjam
"Chikiti Mahaidyalaya, Chikiti (Id: C-39383)",Odisha,Ganjam
"College of Advance Computing, Berhampur (Id: C-39320)",Odisha,Ganjam
"College of Business Administration, Berhampur (Id: C-39341)",Odisha,Ganjam
"College of Library and Information Science, SMIT, Ankushpur (Id: C-39423)",Odisha,Ganjam
"College of Nursing, Berhampur (Id: C-39349)",Odisha,Ganjam
"College of Pharmaceutical Sciences, Mohuda (Id: C-39412)",Odisha,Ganjam
"Council for Analytical Tribal Studies, Koraput (Id: C-39374)",Odisha,Koraput
"DAV College, Koraput (Id: C-39360)",Odisha,Koraput
"DAV College of Teacher's Education, Koraput (Id: C-39375)",Odisha,Koraput
"Disha College of Management, Berhampur (Id: C-39382)",Odisha,Ganjam
"DM Science College, Gallery (Id: C-39362)",Odisha,Ganjam
"DPIASE, Konisi (Id: C-39372)",Odisha,Ganjam
"D.P. Mishra Institute, Kodala (Id: C-39333)",Odisha,Ganjam
"Gajapati College of Nursing, Parlakhemudndi (Id: C-39353)",Odisha,Gajapati
"Gandhi Institute of Biological Sciences, Rayagada (Id: C-39346)",Odisha,Rayagada
"Gangeswari Mahavidyalaya, Pottangi (Id: C-39392)",Odisha,Koraput
"Ganjam College, Ganjam (Id: C-39328)",Odisha,Ganjam
"Ganjam Law College, Berhampur (Id: C-39445)",Odisha,Ganjam
"Gayatri Institute of Computer and Management Studies, Gunupur (Id: C-39337)",Odisha,Rayagada
"Gayatri Institute of Science and Technology, Berhampur (Id: C-39348)",Odisha,Ganjam
"Gopabandhu Anchalika Mahavidyalaya, Kalimela (Id: C-39363)",Odisha,Malkangiri
"Gopalpur College, Gopalpur (Id: C-39347)",Odisha,Ganjam
"Government (Autonomous) College, Phulbani (Id: C-39420)",Odisha,Kandhamal
"Government Science College, Chatrapur (Id: C-39415)",Odisha,Ganjam
"Government Teachers Training College, Phulbani (Id: C-43891)",Odisha,Kandhamal
"Government Women's College, Jeypore (Id: C-39318)",Odisha,Koraput
"Gunupur College, Gunupur (Id: C-39432)",Odisha,Rayagada
"Hilltop College, Mohana (Id: C-39323)",Odisha,Gajapati
"Hi-Tech Institute of Information Technology, Jeypore (Id: C-39384)",Odisha,Koraput
"Indira Memorial College, Chandiput (Id: C-39437)",Odisha,Gajapati
"Institute of Advanced Computer and Research, Rayagada (Id: C-39405)",Odisha,Rayagada
"Jeypore Law College, Jeypore (Id: C-39411)",Odisha,Koraput
"J.J. Mahavidyalaya, Raikia (Id: C-39381)",Odisha,Kandhamal
"Kalinga Mahavidyalaya, G. Udayagiri (Id: C-39344)",Odisha,Kandhamal
"KATS Ayurvedic College, Ankushpur (Id: C-39379)",Odisha,Ganjam
"K.B.V. Mahavidyalaya, Kabisuryanagar (Id: C-39424)",Odisha,Ganjam
"Keshpur College, Keshpur (Id: C-39400)",Odisha,Ganjam
"Khallikote (Autonomous) College, Berhampur (Id: C-39410)",Odisha,Ganjam
"Khemundi College, Digapahandi (Id: C-39417)",Odisha,Ganjam
"K.I.G.M. College, Linepada (Id: C-39436)",Odisha,Kandhamal
"K.M. Science College, Narendrapur (Id: C-39434)",Odisha,Ganjam
"Kondhamal Vidyalaya, Sarangada (Id: C-39442)",Odisha,Kandhamal
"Kotpad College, Kotpad (Id: C-39409)",Odisha,Koraput
"K.S.U.B. College, Bhanjanagar (Id: C-39395)",Odisha,Ganjam
"KSUB College of Teacher Education, Bhanjanagar (Id: C-39319)",Odisha,Ganjam
"Laxmipur College, Laxmipur (Id: C-39413)",Odisha,Koraput
"Lingaraj Law College, Berhampur (Id: C-39443)",Odisha,Ganjam
"L.N. Degree College, Kodala (Id: C-39340)",Odisha,Ganjam
"Maa Markama College, Bissamcuttack (Id: C-39416)",Odisha,Rayagada
"Mahamayee Mahila Mahaidyalaya, Berhampur (Id: C-39367)",Odisha,Ganjam
"Malkangiri College, Malkangiri (Id: C-39391)",Odisha,Malkangiri
"Minaketan Degree College, Gurandi (Id: C-39387)",Odisha,Gajapati
"MITS, Rayagada (Id: C-39321)",Odisha,Rayagada
"MKCG Medical College, Berhampur (Id: C-39378)",Odisha,Ganjam
"Muniguda College, Muniguda (Id: C-39397)",Odisha,Rayagada
"N.B.C. College, Kendupadar (Id: C-39435)",Odisha,Ganjam
"Netaji Subhas Bose College, Tumudibandha (Id: C-39368)",Odisha,Kandhamal
"Nexus Integrated School of Management, Berhampur (Id: C-39366)",Odisha,Ganjam
"Niranjan Government Women's College, Aska (Id: C-39334)",Odisha,Ganjam
"Nowrangpur College, Nowrangpur (Id: C-39354)",Odisha,Nabarangapur
"Nrusinganath Mahavidyalaya, Mahanadapur (Id: C-39373)",Odisha,Ganjam
"NSB College, Nuvapada (Id: C-39325)",Odisha,Ganjam
"Panabeda Mahavidyalaya, Chandahandi (Id: C-39402)",Odisha,Nabarangapur
"Panchayat College, Phiringia (Id: C-39342)",Odisha,Kandhamal
"Pendrani Mahavidyalaya, Umerkote (Id: C-39317)",Odisha,Nabarangapur
"People's College, Buguda (Id: C-39414)",Odisha,Ganjam
"Polasara Science College, Polasara (Id: C-39389)",Odisha,Ganjam
"Rajiv Memorial Institute of Technology, Berhampur (Id: C-39335)",Odisha,Ganjam
"Ramjee Mahavidyalaya, Bhishmagiri (Id: C-39428)",Odisha,Ganjam
"Ram Narayan College, Dura (Id: C-39371)",Odisha,Ganjam
"Rayagada (Autonomous) College, Rayagada (Id: C-39365)",Odisha,Rayagada
"R.C.M. Science College, Khallikote (Id: C-39332)",Odisha,Ganjam
"R.G. College, Padmapur (Id: C-39385)",Odisha,Rayagada
"Roland Institute of Computer and Management Studies, Berhampur (Id: C-39329)",Odisha,Ganjam
"Roland Institute of Pharmaceutical Sciences, Berhampur (Id: C-39419)",Odisha,Ganjam
"Royal College of Pharmacy and Health Sciences, Berhampur (Id: C-39393)",Odisha,Ganjam
"Rushikulya Degree College, Surada (Id: C-39339)",Odisha,Ganjam
"Rushimal Mahavidyalaya, Bamunigaon (Id: C-39438)",Odisha,Kandhamal
"Sabitri Women's College, Bhanjanagar (Id: C-39345)",Odisha,Ganjam
"Saheed Bhagat Singh College, Khandadeuli (Id: C-39351)",Odisha,Ganjam
"Saheed Laxman Nayak Degree College, Baipariguda (Id: C-39369)",Odisha,Koraput
"S.B.P. Mahavidyalaya, Samantiapalli (Id: C-39403)",Odisha,Ganjam
"SBRG (Autonomous) Women's College, Berhampur (Id: C-39361)",Odisha,Ganjam
"Science College, Gudari (Id: C-39396)",Odisha,Rayagada
"Science College, Hinjilicut (Id: C-39359)",Odisha,Ganjam
"Science College, Konkorada (Id: C-39444)",Odisha,Ganjam
"Semiliguda College, Semiliguda (Id: C-39440)",Odisha,Koraput
"Sindhidevi Mahavidyalaya, Nandapur (Id: C-39322)",Odisha,Koraput
"SKCG (Autonomous) College, Parlakhemundi (Id: C-39350)",Odisha,Gajapati
"S.M. Government Women's College, Phulbani (Id: C-39380)",Odisha,Kandhamal
"S.M.I.T., Ankushpur (Id: C-39352)",Odisha,Ganjam
"Sri Jagannath Mahavidyalaya, Rambha (Id: C-39356)",Odisha,Ganjam
"Sri Ram College, Kashinagar (Id: C-39390)",Odisha,Gajapati
"Sunabeda Women's College, Sunabeda (Id: C-39418)",Odisha,Koraput
"Supreme Institute of Science and Technology, Berhampur (Id: C-39326)",Odisha,Ganjam
"Swamy Sivananda Polytechnic, Aska (Id: C-39386)",Odisha,Ganjam
"Swamy Vivekananda Institute of Information Technology and Management, Berhampur (Id: C-39388)",Odisha,Ganjam
"Tara Tarini College, Purushottampur (Id: C-39427)",Odisha,Ganjam
"Thayaramma Women's College, Gunjpur (Id: C-39330)",Odisha,Rayagada
"TSD College, B.D. Pur (Id: C-39398)",Odisha,Ganjam
"Udaya Pratap Science College, Shegada (Id: C-39439)",Odisha,Ganjam
"Vikram Deb (Autonomous) College, Jeypore (Id: C-39338)",Odisha,Koraput
"Women's College, Nabarangpur (Id: C-39358)",Odisha,Nabarangapur
"Women's College, Parlakhemundi (Id: C-39394)",Odisha,Gajapati
"Women's College, Rayagada (Id: C-39343)",Odisha,Rayagada
BPS College of Education (Id: C-17084),Haryana,Sonipat
BPSM Girls College (Id: C-17085),Haryana,Sonipat
MSM Institute of Ayurveda (Id: C-41025),Haryana,Sonipat
School of Pharmaceutical Education and Research (Id: C-17087),Haryana,Sonipat
Adharsh Vidyalaya College of Arts and Science for Women (Id: C-41066),Tamil Nadu,Erode
A.G. Arts and Science College (Id: C-41111),Tamil Nadu,Tiruppur
Air Force Administrative College (Id: C-41053),Tamil Nadu,Coimbatore
AJK College of Arts and Science (Id: C-41080),Tamil Nadu,Coimbatore
Angappa College of Arts and Science (Id: C-41070),Tamil Nadu,Coimbatore
Ayyan Thiruvalluvar College of Arts and Science (Id: C-41062),Tamil Nadu,Coimbatore
Bharathiar University Arts and science College (Id: C-41114),Tamil Nadu,Coimbatore
Bharathiar University Arts and Science College (Id: C-41041),Tamil Nadu,Erode
Bharathiar University College of Arts and Science (Id: C-41117),Tamil Nadu,The Nilgiris
Bharathidasan College of Arts and Science (Id: C-41071),Tamil Nadu,Erode
Bharathidasan School of Business (Id: C-41109),Tamil Nadu,Erode
Bharathidasan School of Computer Application (Id: C-41055),Tamil Nadu,Erode
Bishop Ambrose College (Id: C-41136),Tamil Nadu,Coimbatore
Bishop Appasamy College of Arts and Science (Id: C-41075),Tamil Nadu,Coimbatore
Bishop Thorp College (Id: C-41135),Tamil Nadu,Tiruppur
CBM College (Id: C-41095),Tamil Nadu,Coimbatore
"Cherraan's Arts, Science College (Id: C-41061)",Tamil Nadu,Tiruppur
Cherran College for Women (Id: C-41057),Tamil Nadu,Tiruppur
Chikkaiah Naicker College (Id: C-41113),Tamil Nadu,Erode
Chikkanna Govt Arts College (Id: C-41036),Tamil Nadu,Tiruppur
CMS Academy of Management and Technology (Id: C-41132),Tamil Nadu,Coimbatore
CMS College of Science and Commerce (Id: C-41096),Tamil Nadu,Coimbatore
CMS Institute of Management Studies (Id: C-41065),Tamil Nadu,Coimbatore
Coimbatore Institute of Management and Technology (Id: C-41090),Tamil Nadu,Coimbatore
D.J.Academy for Managerial Excellence (Id: C-41107),Tamil Nadu,Coimbatore
Dr.G.R.Damodaran College of Science (Id: C-41044),Tamil Nadu,Coimbatore
Dr.N.G.P. Arts and Science College (Id: C-41054),Tamil Nadu,Coimbatore
Dr.R.A.N.M. Arts and Science College (Id: C-41139),Tamil Nadu,Erode
Dr.R.V.Arts and Science College (Id: C-41099),Tamil Nadu,Coimbatore
Dr.S.N.S.Rajalakshmi College of Arts and Science (Id: C-41042),Tamil Nadu,Coimbatore
Emerald Heights College (Id: C-41043),Tamil Nadu,The Nilgiris
Erode Arts and Science College (Id: C-41128),Tamil Nadu,Erode
Erode Christian College of Arts and Science for Women (Id: C-41067),Tamil Nadu,Erode
Gobi Arts & Science College (Id: C-41138),Tamil Nadu,Erode
"Government Arts College, Coimbatore (Id: C-41035)",Tamil Nadu,Coimbatore
"Government Arts College, Nilgiris (Id: C-41060)",Tamil Nadu,The Nilgiris
"Government Arts College, Tiruppur (Id: C-41110)",Tamil Nadu,Tiruppur
G.R.Damodaran Academy of Management (Id: C-41088),Tamil Nadu,Coimbatore
Guruvayurappan Institute of Management (Id: C-41103),Tamil Nadu,Coimbatore
Hindusthan College of Arts and Science (Id: C-41049),Tamil Nadu,Coimbatore
Jansons School of Business (Id: C-41048),Tamil Nadu,Tiruppur
Kaamadhenu Arts and Science College (Id: C-41098),Tamil Nadu,Erode
Kamalam College of Arts and Science (Id: C-41102),Tamil Nadu,Tiruppur
Kamban College of Arts and Science (Id: C-41047),Tamil Nadu,Coimbatore
Karuppannan Mariappan College (Id: C-41084),Tamil Nadu,Erode
Kaypeeyes College of Arts and Science (Id: C-41119),Tamil Nadu,The Nilgiris
K.G. College of Arts and Science (Id: C-41125),Tamil Nadu,Coimbatore
KGISL Institute of Information Management (Id: C-41127),Tamil Nadu,Coimbatore
Kongu Arts and Science College (Id: C-41104),Tamil Nadu,Erode
Kongunadu Arts and Science College (Id: C-41106),Tamil Nadu,Coimbatore
Kovai Kalaimagal College of Arts and Science (Id: C-41034),Tamil Nadu,Coimbatore
K.S.G. College of Arts and Science (Id: C-41058),Tamil Nadu,Coimbatore
Lakshmi Narayana Visalakshi College of Arts and Science (Id: C-41108),Tamil Nadu,Coimbatore
LRG Government Arts College for Women (Id: C-41050),Tamil Nadu,Tiruppur
Maharaja Arts and Science College (Id: C-41118),Tamil Nadu,Coimbatore
Maharaja Co-Education Arts and Science College (Id: C-41122),Tamil Nadu,Erode
Maharani Arts and Science Women's College (Id: C-41081),Tamil Nadu,Tiruppur
Michael Job College of Arts and Science for Women (Id: C-41123),Tamil Nadu,Coimbatore
Nandha Arts and Science College (Id: C-41120),Tamil Nadu,Erode
Navarasam Arts and Science College For Women (Id: C-41089),Tamil Nadu,Erode
Nehru Arts and Science College (Id: C-41133),Tamil Nadu,Coimbatore
Nehru College of Management (Id: C-41105),Tamil Nadu,Coimbatore
N G M College (Id: C-41073),Tamil Nadu,Coimbatore
NIFT-TEA College of Knitwear Fashion (Id: C-41137),Tamil Nadu,Tiruppur
"NILGIRI COLLEGE OF ARTS AND SCIENCE, THE NILGIRIS (Id: C-46609)",Tamil Nadu,The Nilgiris
Nirmala College for Women (Id: C-41069),Tamil Nadu,Coimbatore
Park's College (Id: C-41072),Tamil Nadu,Tiruppur
Pioneer College of Arts and Science (Id: C-41112),Tamil Nadu,Coimbatore
P K R Arts College for Women (Id: C-41039),Tamil Nadu,Erode
Providence College for Women (Id: C-41087),Tamil Nadu,The Nilgiris
PSG College of Arts and Science (Id: C-41124),Tamil Nadu,Coimbatore
PSGR Krishnammal College for Women (Id: C-41046),Tamil Nadu,Coimbatore
Rathinam College of Arts and Science (Id: C-41134),Tamil Nadu,Coimbatore
Rathinavel Subramaniam College (Id: C-41037),Tamil Nadu,Coimbatore
"SAN INTERNATIONAL COLLEGE OF ARTS AND SCIENCE, COIMBATORE (Id: C-46608)",Tamil Nadu,Coimbatore
Sankara College of Science and Commerce (Id: C-41064),Tamil Nadu,Coimbatore
Saratha College of Arts and Science (Id: C-41091),Tamil Nadu,Erode
Sasuri College of Arts and Science (Id: C-41063),Tamil Nadu,Tiruppur
Shiri Kumaran College of Arts and Science (Id: C-41121),Tamil Nadu,Coimbatore
S.M.S. College of Arts and Science (Id: C-41078),Tamil Nadu,Coimbatore
S N R Sons College (Id: C-41100),Tamil Nadu,Coimbatore
Sree Amman Arts and Science College (Id: C-41086),Tamil Nadu,Erode
Sree Narayana Guru College (Id: C-41130),Tamil Nadu,Coimbatore
Sree Ramu College of Arts and Science (Id: C-41079),Tamil Nadu,Coimbatore
Sree Saraswathi Thiagaraja College (Id: C-41097),Tamil Nadu,Coimbatore
Sri Gee College of Arts and Science (Id: C-41129),Tamil Nadu,Coimbatore
Sri GVG Visalakshi College for Women (Id: C-41052),Tamil Nadu,Tiruppur
Sri Jeyandra Saraswathy Maha Vidyalaya College of Arts & Science (Id: C-41082),Tamil Nadu,Coimbatore
Sri Krishna Arts and Science College (Id: C-41126),Tamil Nadu,Coimbatore
Sri Nehru Maha Vidyalaya College of Arts and Science (Id: C-41040),Tamil Nadu,Coimbatore
Sri Ramakrishna College of Arts and Science for Women (Id: C-41059),Tamil Nadu,Coimbatore
Sri Ramalinga Sowdambigai College of Science and Commerce (Id: C-41115),Tamil Nadu,Coimbatore
Sri Subash Arts and Science College (Id: C-41045),Tamil Nadu,Coimbatore
Sri Vasavi College (Id: C-41092),Tamil Nadu,Erode
SRMV College of Arts and Science (Id: C-41077),Tamil Nadu,Coimbatore
St. Joseph's College for Women (Id: C-41056),Tamil Nadu,Tiruppur
St. Pauls College of Arts and Science for Women (Id: C-41101),Tamil Nadu,Coimbatore
TERF's Academy College of Arts and Science (Id: C-41051),Tamil Nadu,Tiruppur
Texcity Arts and Science College (Id: C-41085),Tamil Nadu,Coimbatore
"Thavathiru Santhalinga Adigalar Arts, Science and Tamil College (Id: C-41076)",Tamil Nadu,Coimbatore
Tirupur Kumaran College for Women (Id: C-41131),Tamil Nadu,Tiruppur
Vellakoil Arts and Science College (Id: C-41093),Tamil Nadu,Erode
Vellalar College for Women (Id: C-41068),Tamil Nadu,Erode
Vidyasagar College of Arts and Science (Id: C-41074),Tamil Nadu,Tiruppur
VLB Janaki Ammal College of Arts and Science (Id: C-41083),Tamil Nadu,Coimbatore
V.N.Krishnasamy Naidu College of Arts and Science for Women (Id: C-41094),Tamil Nadu,Coimbatore
Wisdom School of Management (Id: C-41038),Tamil Nadu,Coimbatore
"Aadhavan Arts and Science College, Alathur Village, Chettiyappatty Panchayat, Manapparai (Tk), Tiruchirappalli - 621 306. (Id: C-35799)",Tamil Nadu,Tiruchirappalli
"A.A. Government Arts College, Musiri - 621 201. (Id: C-35789)",Tamil Nadu,Tiruchirappalli
"ABI & ABI College, Vayalur, Thanjavur - 613 003 (Id: C-35891)",Tamil Nadu,Thanjavur
"Adaikala Matha College, Arun Nagar, Vam, Thanjavur - 613 403. (Id: C-35777)",Tamil Nadu,Thanjavur
"A.D.M. College for Women, Nagapattinam - 611 001. (Id: C-35805)",Tamil Nadu,Nagapattinam
"Aiman College of Arts & Science for Women, K. Sathanur , Tiruchirappalli - 620 021. (Id: C-35778)",Tamil Nadu,Tiruchirappalli
"Annai College of Arts & Science, Kumbakonam-612 503. (Id: C-35839)",Tamil Nadu,Thanjavur
"Annai Vailankanni College of Arts and Science, V.O.C. Nagar, Thanjavur - 613 007. (Id: C-35829)",Tamil Nadu,Thanjavur
"Annai Women's College, Aurobindo Nagar, TNPL Road, Punnamchathiram, Karur 639 136. (Id: C-35900)",Tamil Nadu,Karur
